"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"VFH0054","VFH0023","Q","Q",90,-0.12538138,0.6576133,-1.19225414,8.18864166,0.70786517,0.02247191,8.78199e-05,2.184342636
"VFH0054","ZWB1001","X","1",66,0.17734063,0.51504889,1.45279335,4.80702236,0.70769231,0.03076923,0.00081122,1.703443436
"VFH0054","ZWB1001","0","1",66,0.17734063,0.51504889,1.45279335,4.80702236,0.70769231,0.03076923,0.00081122,1.703443436
"VFH0054","ZWS6046","X","0",58,0.22478054,0.5744285,1.7416251,5.25148645,0.75438596,0.01754386,0.0001224623,1.853963105
"VFH0057","1DH0032","Q","Q",61,0.4613171,0.55345798,4.02750747,5.10422415,0.71666667,0.03333333,0.000789113,1.780547065
"VFH0057","1DH0032","0","Q",61,0.4613171,0.55345798,4.02750747,5.10422415,0.71666667,0.03333333,0.000789113,1.780547065
"VFH0060","VFH0061","3","0",86,0.80950892,0.60027113,12.71198615,6.87871885,0.75294118,0.03529412,3.1011e-06,2.041084195
"VFH0061","202048","0","A",56,0.27569117,0.55907132,2.12701002,4.95503735,0.70909091,0.07272727,0.0019266038,1.763665965
"VFH0061","C4A_QT3","0","R",81,0.5786736,0.54734115,6.34633729,5.8129034,0.7625,0.05,2.6564e-06,1.89113149
"VFH0061","FLEV_QT1","0","R",56,0.72586075,0.69843821,7.8261141,7.17153035,0.70909091,0.03636364,0.0019266038,2.124682155
"VFH0061","TROY137","0","T",55,0.4350496,0.5138722,3.55056144,4.36087086,0.74074074,0.01851852,0.0004029383,1.690700026
"VFH0061","VFH_QT1","0","R",235,0.69443739,0.5718863,14.76312015,10.64136962,0.7008547,0.06410256,8e-10,2.336877962
"VFH0061","VFH0004","0","1",124,0.49540355,0.5536791,6.32499772,7.34401872,0.69105691,0.04878049,2.25673e-05,1.979137882
"VFH0061","VFH0034","0","0",64,0.77630971,0.65730405,9.77512636,6.86762505,0.74603175,0.03174603,9.39791e-05,2.090098305
"VFH0061","VFH0047","0","Q",238,0.88589789,0.51276427,29.40031091,9.17526387,0.62869198,0.06329114,7.42076e-05,2.058982637
"VFH0061","VFH0060","0","3",86,0.80950892,0.60027113,12.71198615,6.87871885,0.75294118,0.03529412,3.1011e-06,2.041084195
"VIGO102","195014","T","A",58,0.38413108,0.51780977,3.14111701,4.52945946,0.70175439,0,0.0023158069,1.672510106
"VIGO102","195017","T","0",58,0.23241177,0.50688031,1.80407038,4.40031614,0.73684211,0,0.0003485752,1.683754034
"VIGO102","195021","T","0",58,0.31889639,0.57055833,2.54024202,5.19894156,0.75438596,0.01754386,0.0001224623,1.844838446
"VIGO102","195031","T","Q",58,0.27411954,0.51247043,2.15198772,4.46600186,0.73684211,0,0.0003485752,1.695912726
"VIGO102","195035","T","A",58,0.30818483,0.53625796,2.44578959,4.75441905,0.78947368,0.01754386,1.23703e-05,1.801173545
"VIGO102","195047","T","A",58,0.15173907,0.56681366,1.15902571,5.14858953,0.71929825,0.01754386,0.0009285334,1.800970863
"VIGO102","195050","T","B",58,0.36822148,0.52147609,2.99010137,4.57345099,0.73684211,0.03508772,0.0003485752,1.715663299
"VIGO102","C4A_QT2","T","R",50,0.46690544,0.65989808,3.69593045,6.0848829,0.79591837,0,3.43006e-05,2.06430474
"VIGO102","FLEV_QT1","T","R",52,0.60502831,0.70446424,5.42670796,7.01851101,0.70588235,0.01960784,0.0032758975,2.112197691
"VIGO102","FLEV106","T","T",51,0.24798618,0.62710228,1.81006714,5.63552178,0.7,0,0.004677735,1.890654458
"VIGO102","FLEV129","T","T",58,0.32386721,0.61192593,2.58443846,5.78979267,0.77192982,0.01754386,4.02482e-05,1.962835017
"VIGO102","OSN0003","T","1",51,0.41407498,0.56454702,3.21667175,4.78776927,0.72,0,0.0018628463,1.763323947
"VIGO102","SARR609","T","T",52,0.43987554,0.52132085,3.49792228,4.31973821,0.7254902,0,0.0012790283,1.678784871
"VIGO102","SILL_QT6","T","R",58,0.55154323,0.58585852,4.99200206,5.4097872,0.73684211,0.01754386,0.0003485752,1.86367935
"VIGO102","SILL_QT7","T","R",58,0.64114156,0.70780051,6.3074926,7.49801995,0.73684211,0.01754386,0.0003485752,2.194444615
"VIGO102","TROY066","T","T",53,0.38838249,0.52341733,3.03925255,4.38686848,0.71153846,0.01923077,0.0022819373,1.673642638
"VIGO102","VFH0023","T","Q",57,0.3632351,0.51449194,2.91747328,4.44967417,0.76785714,0.05357143,6.09974e-05,1.727316497
"VIGO102","VFH0023","T","0",57,0.3632351,0.51449194,2.91747328,4.44967417,0.76785714,0.05357143,6.09974e-05,1.727316497
"VILE101","068129","T","B",56,0.10187051,0.53892783,0.75944282,4.70147254,0.70909091,0,0.0019266038,1.718165994
"VILE101","185362","T","A",56,0.58937109,0.5084814,5.41044211,4.33942304,0.70909091,0,0.0019266038,1.651514614
"VILE101","BSN0004","T","1",56,-0.06149797,0.61365424,-0.45694608,5.71119916,0.74545455,0,0.0002719197,1.930228706
"VILE101","C5A0203","T","B",56,0.35042411,0.50802715,2.7747591,4.33419707,0.72727273,0.01818182,0.0007489604,1.668719587
"VILE101","DAMB_QT1","T","R",56,0.69926882,0.58783132,7.25446245,5.33961476,0.72727273,0.03636364,0.0007489604,1.849065526
"VILE101","DIF0025","T","1",56,0.70402058,0.54207403,7.35188187,4.74029351,0.8,0,8.5983e-06,1.816103381
"VILE101","DMN4_QT1","T","R",56,0.76001067,0.58191651,8.67256221,5.25816573,0.70909091,0,0.0019266038,1.816823993
"VILE101","DMN4016","T","0",56,-0.18730413,0.50584549,-1.4141116,4.30916549,0.70909091,0.03636364,0.0019266038,1.645852949
"VILE101","LUPP101","T","T",50,0.43980606,0.56140666,3.42797818,4.70012215,0.73469388,0,0.0010172414,1.766112755
"VILE101","NEW0013","T","1",56,0.50065863,0.53230419,4.28926937,4.62064427,0.74545455,0,0.0002719197,1.739823167
"VILE101","NOVY126","T","T",56,0.37727773,0.59381559,3.02123535,5.42335228,0.70909091,0,0.0019266038,1.845241728
"VILE101","SILL115","T","Q",56,0.37718105,0.60691872,3.0203327,5.61163317,0.74545455,0.01818182,0.0002719197,1.913536587
"VILE101","SILL115","T","T",56,0.37718105,0.60691872,3.0203327,5.61163317,0.74545455,0.01818182,0.0002719197,1.913536587
"VILE101","TROY020","T","T",55,0.86847331,0.65995804,12.87368767,6.39498381,0.7037037,0.05555556,0.0027550771,2.003160121
"VILE101","TROY024","T","Q",56,0.50723679,0.60919794,4.36497956,5.64510663,0.70909091,0.03636364,0.0019266038,1.882799513
"VILE101","TROY024","T","T",56,0.50723679,0.60919794,4.36497956,5.64510663,0.70909091,0.03636364,0.0019266038,1.882799513
"VILE101","TROY039","T","T",50,0.54695445,0.65924844,4.5734033,6.07428397,0.7755102,0.02040816,0.0001147201,2.042187037
"VILE101","TROY074","T","T",56,0.64321873,0.51642657,6.23004696,4.4316306,0.74545455,0.01818182,0.0002719197,1.70504418
"VILE101","TROY095","T","T",56,0.33491881,0.57423902,2.63606506,5.15431922,0.70909091,0,0.0019266038,1.798761852
"VILE101","TROY095","T","Q",56,0.33491881,0.57423902,2.63606506,5.15431922,0.70909091,0,0.0019266038,1.798761852
"VILE101","TROY100","T","T",50,0.33698852,0.64161098,2.50546759,5.79535347,0.71428571,0,0.0026997961,1.935432037
"VILE101","TROY102","T","T",56,0.49753373,0.59981743,4.25365353,5.50873225,0.74545455,0,0.0002719197,1.896145205
"VILE101","TROY125","T","T",56,0.38276664,0.63353981,3.07267261,6.01717341,0.70909091,0.01818182,0.0019266038,1.944348061
"VILE101","TROY127","T","T",56,0.51498775,0.5777331,4.45550907,5.20132327,0.70909091,0,0.0019266038,1.806956337
"VILE101","TROY128","T","T",56,0.34920827,0.53742304,2.76379204,4.68300334,0.74545455,0.01818182,0.0002719197,1.751177924
"VILE101","TROY128","T","Q",56,0.34920827,0.53742304,2.76379204,4.68300334,0.74545455,0.01818182,0.0002719197,1.751177924
"VILE101","TROY131","T","T",56,-0.05076188,0.5111743,-0.37694614,4.3705048,0.70909091,0.01818182,0.0019266038,1.65731569
"VILE101","TROY131","T","X",56,-0.05076188,0.5111743,-0.37694614,4.3705048,0.70909091,0.01818182,0.0019266038,1.65731569
"VILE101","TROY147","T","T",52,0.65293182,0.63282397,6.1562756,5.77911155,0.8627451,0,2.207e-07,2.073480225
"VILE101","TROY163","T","T",56,0.61869562,0.53406554,5.84036375,4.64202054,0.72727273,0.01818182,0.0007489604,1.725540324
"VILE101","TROY172","T","T",56,0.62843196,0.58502845,5.99150084,5.30085809,0.78181818,0,2.91459e-05,1.896932439
"VILE101","TROY184","T","T",56,0.29743277,0.52654916,2.31038193,4.55137852,0.76363636,0.05454545,9.2159e-05,1.745323372
"VILE101","TROY210","T","T",50,0.63813915,0.61850928,5.80185986,5.4533988,0.71428571,0,0.0026997961,1.87813487
